X1,Player,Year.x,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint,Rk,Year.y,Lg,Rd,Pk,Tm,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
62,Craig Brackins,2010,21,80.5,81.75,84,109,35,144,26,135,229,7.9,9.5,11.25,6,11.65,3.39,419,2010,NBA,1,21,OKC,22.264,F,us,Iowa State,2011,2012,17,7.1,1.8,1.1,0.5,0.1,0.1,0.265,0.286,0.214,0.5,-0.2,-0.089
63,Trevor Booker,2010,23,78.25,79.5,81.75,106,36,142,31,137,236,7.3,9,9.5,22,11.15,3.1,91,2010,NBA,1,23,MIN,22.217,F,us,Clemson,2011,2018,532,20.4,6.9,5.5,1.1,0.7,0.5,0.515,0.534,0.305,0.636,26.2,0.116
64,Dominique Jones,2010,25,75.25,77,81.25,101,32.5,133.5,26,127,216,5.9,9,10.25,19,10.88,3.31,374,2010,NBA,1,25,MEM,21.257,G,us,University of South Florida,2011,2013,80,9.3,3.1,1.4,1.8,0.4,0.1,0.366,0.393,0.095,0.729,0.3,0.017
65,Jordan Crawford,2010,27,75,76.5,79,101,34.5,135.5,31.5,132.5,198,4.9,8,9,7,11.03,3.37,311,2010,NBA,1,27,NJN,21.249,G,us,Xavier,2011,2018,281,24.4,12.2,2.5,3.1,0.7,0.1,0.411,0.458,0.317,0.826,6.3,0.044
66,Daniel Orton,2010,29,80.75,81.5,88.25,110.5,30.5,141,24,134.5,269,13.8,8.5,9.75,13,12.32,3.39,149,2010,NBA,1,29,ORL,19.327,C-F,us,Kentucky,2012,2014,51,10.6,2.8,2.5,0.5,0.4,0.5,0.485,0.49,0,0.597,1,0.093
67,Derrick Favors,2010,3,80.75,82.25,88,110,35.5,145.5,31.5,141.5,245,6.5,8.75,9.25,14,11.74,3.25,46,2010,NBA,1,3,NJN,18.349,F-C,us,Georgia Tech,2011,2020,635,25.7,11.6,7.2,1.1,0.8,1.3,0.525,0.535,0.208,0.664,49.5,0.146
68,Lazar Hayward,2010,30,76.5,77.75,84.75,102,36,138,31,133,226,7.5,9.25,9.5,15,10.87,3.31,370,2010,NBA,1,30,WAS,23.216,F,us,Marquette,2011,2013,72,8.2,2.9,1.3,0.5,0.2,0.1,0.347,0.395,0.269,0.767,0.2,0.02
69,Dexter Pittman,2010,32,81.5,83.5,90,111,NA,NA,NA,NA,303,20.8,10.25,10.5,NA,NA,NA,244,2010,NBA,2,32,MIA,22.119,C,us,Texas,2011,2014,50,6.9,2.3,1.8,0.2,0.2,0.2,0.45,0.45,NA,0.545,0.5,0.068
70,Hassan Whiteside,2010,33,82.5,83.5,91,113,31.5,144.5,27,140,227,5.5,8.25,10.25,12,11.83,3.54,10,2010,NBA,2,33,SAC,21.016,C,us,Marshall,2011,2020,348,26,13.4,11.4,0.6,0.6,2.3,0.575,0.577,0.222,0.596,37.3,0.198
71,Armon Johnson,2010,34,74,75.25,80,99.5,38.5,138,31.5,131,195,5.6,8.25,9.25,18,11.25,3.19,452,2010,NBA,2,34,POR,21.126,G,us,Nevada,2011,2012,47,8.5,3.3,1,1.2,0.2,0,0.458,0.465,0.4,0.679,-0.1,-0.015
72,Terrico White,2010,36,75.75,77,81,101,40,141,31,132,203,3.7,9,10.5,10,11.38,3.15,479,2010,NBA,2,36,DET,NA,NA,NA,University of Mississippi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,Darington Hobson,2010,37,77.25,78.5,81.25,104.5,34,138.5,29,133.5,204,6.2,8.25,9,NA,11.68,3.25,408,2010,NBA,2,37,MIL,22.274,G,us,New Mexico,2012,2012,5,7.8,0.8,0.6,1.2,0,0,0.154,0.286,0,NA,-0.2,-0.225
74,Andy Rautins,2010,38,76.25,77,79,100,30.5,130.5,23.5,123.5,192,6.2,8,9.75,8,11.27,3.49,405,2010,NBA,2,38,NYK,23.24,G,us,Syracuse,2011,2011,5,4.8,1.6,0.2,0.6,0.2,0,0.429,0.667,0.25,0.5,-0.2,-0.314
