Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MPG,PPG,RPG,APG,SPG,BPG,FG%,2P%,3P%,FT%,WS,WS/48
26,2013,NBA,1,16,BOS,Lucas Nogueira\noguelu01,20.341,C,br,,2015,2018,141,12.4,3.2,2.8,0.5,0.6,1,0.632,0.681,0.265,0.64,6,0.165
27,2017,NBA,2,42,UTA,Thomas Bryant\bryanth01,19.331,C,us,Indiana,2018,2020,92,18.6,9.1,5.7,1.2,0.3,0.9,0.591,0.671,0.304,0.769,5.9,0.165
28,2012,NBA,1,9,DET,Andre Drummond\drumman01,18.327,C,us,UConn,2013,2020,549,30.9,14.2,13.8,1.2,1.3,1.6,0.544,0.549,0.137,0.451,57.4,0.162
29,2011,NBA,2,52,DET,Vernon Macklin\macklve01,24.282,F,us,Florida,2012,2012,23,5.9,2,1.5,0.2,0.2,0.2,0.543,0.543,,0.571,0.5,0.161
30,2011,NBA,1,22,DEN,Kenneth Faried\farieke01,21.221,F,us,Morehead State University,2012,2019,478,24.5,11.4,8.1,1,0.7,0.8,0.546,0.55,0.222,0.654,38.8,0.159
31,2017,NBA,1,22,BRK,Jarrett Allen\allenja01,19.067,C-F,us,Texas,2018,2020,158,23.4,9.5,7.1,1,0.5,1.4,0.589,0.615,0.183,0.722,12.2,0.159
32,2013,NBA,2,39,POR,Jeff Withey\witheje01,23.118,C,us,Kansas,2014,2018,206,10.1,3.2,2.5,0.3,0.3,0.8,0.525,0.537,0.143,0.716,6.8,0.157
33,2015,NBA,2,37,PHI,Richaun Holmes\holmeri01,21.258,F-C,us,Bowling Green,2016,2020,233,17.1,7.8,4.4,0.9,0.5,0.9,0.57,0.612,0.257,0.706,13,0.156
34,2017,NBA,1,19,ATL,John Collins\collijo01,19.277,F,us,Wake Forest,2018,2020,140,27,14.6,8.4,1.6,0.5,0.9,0.564,0.603,0.357,0.742,12.1,0.154
35,2010,NBA,1,10,IND,Paul George\georgpa01,20.058,F,us,Fresno State,2011,2019,604,33.8,19.8,6.4,3.3,1.8,0.4,0.433,0.47,0.378,0.844,65.2,0.153
36,2010,NBA,1,13,TOR,Ed Davis\davised01,21.024,F,us,UNC,2011,2020,646,20.2,6.5,6.8,0.8,0.5,0.8,0.569,0.57,0,0.583,41.4,0.153
37,2016,NBA,1,1,PHI,Ben Simmons\simmobe01,19.343,G-F,au,LSU,2018,2020,165,34,16.4,8.4,7.9,1.6,0.8,0.553,0.557,0,0.581,17.9,0.153
38,2011,NBA,2,60,SAC,Isaiah Thomas\thomais02,22.141,G,us,Washington,2012,2020,488,29.3,18.6,2.5,5.1,0.9,0.1,0.437,0.487,0.36,0.874,45.5,0.152
39,2013,NBA,2,37,DET,Tony Mitchell\mitchto02,21.086,F,us,University of North Texas,2014,2014,21,3.8,1,1.2,0.1,0.3,0.1,0.417,0.364,1,0.579,0.2,0.151
